tasks,n,mean_log10_difference_cross_minus_full,ci95_low,ci95_high,cross_win_rate
1,10,0.05549332941976727,-0.13676384480637319,0.2688777632142804,0.6
3,10,-0.12040077062564822,-0.2864166556286344,0.027969932299544586,0.6
5,10,-0.05971599424823987,-0.1583009512084971,0.031810950423955105,0.6
