tasks,n,mean_log10_difference_cross_minus_full,ci95_low,ci95_high,cross_win_rate
1,10,0.0554933294197672,-0.1310577649862932,0.2613892766186417,0.6
3,10,-0.1204007706256482,-0.2940686598525722,0.0320834302999629,0.6
5,10,-0.0597159942482398,-0.156774480307694,0.0299741017062636,0.6
