benchmark,tau,method,median_regret,q25_regret,q75_regret,mean_log10_regret,median_rank,median_subspace_error,queries
ellipsoid,0.0,cross_block_adaptive,0.4520119996499442,0.1706315963954108,0.8898158870235741,-0.4950624990393106,1.0,1.0,3999.0
ellipsoid,0.0,cross_block_known,0.3591513137314083,0.0803892411776343,0.8591439779908762,-0.8592716763152499,2.0,0.1911159401805935,3999.0
ellipsoid,0.0,cross_sparse_known,0.3283071108766999,0.2230865239613074,0.8922105294044554,-0.4732355306049599,2.0,0.937540404847115,3999.0
ellipsoid,0.0,full_zo,0.1961881993072024,0.105684037912,0.4545449256200988,-0.7990299753419874,12.0,1.0,3999.0
ellipsoid,0.0,oracle_subspace,0.2128014970200551,0.0682106314347466,0.3793352965724085,-0.7967477077768462,2.0,1.4901161193847656e-08,3999.0
ellipsoid,0.0,random_subspace,0.3577715112433022,0.1897509770711142,1.1758308267534294,-0.475344781334149,2.0,0.9908601260573796,3999.0
rastrigin,0.0,cross_block_adaptive,1.0062097105189878,0.0191272809874005,1.0240004560332272,-0.7056055560181417,2.0,0.0082952098000614,3999.0
rastrigin,0.0,cross_block_known,1.0061585561799582,0.0408995337590756,1.024081321564078,-0.5895468283239943,2.0,0.0084188473704756,3999.0
rastrigin,0.0,cross_sparse_known,0.9961969388527958,0.0255159853237749,0.9982252069138964,-0.7006924123170202,2.0,0.3996637494339631,3999.0
rastrigin,0.0,full_zo,0.5067461745456932,0.0091072946236199,1.0030593565827983,-0.9942726661138764,12.0,1.0,3999.0
rastrigin,0.0,oracle_subspace,1.0070252545272336,0.2569484027973904,1.020018112845979,-0.5767095091294407,2.0,1.7987292724647335e-08,3999.0
rastrigin,0.0,random_subspace,0.5065295644083107,0.0038586368829127,1.0037235095758048,-1.1348793260755483,2.0,0.991435588456365,3999.0
rosenbrock,0.0,cross_block_adaptive,0.0943351024586488,0.0258915093670395,0.17417840003731,-1.1478849222283771,2.0,0.0034849492405319,3999.0
rosenbrock,0.0,cross_block_known,0.0596356236924811,0.0258290597500742,0.0872482991967276,-1.2945963776108145,2.0,0.0026922906164322,3999.0
rosenbrock,0.0,cross_sparse_known,0.1816453448234097,0.1579235845585397,0.2459819363961199,-0.6534279720992785,2.0,0.9389594409365928,3999.0
rosenbrock,0.0,full_zo,0.0258121453806363,0.018292849383511,0.0790140013292214,-1.4638901160740514,12.0,1.0,3999.0
rosenbrock,0.0,oracle_subspace,0.0353922159866718,0.0236616959883816,0.071013031986716,-1.446921730712853,2.0,2.1073424255447017e-08,3999.0
rosenbrock,0.0,random_subspace,0.2368911059908223,0.1424919956909123,0.4538803207285592,-0.6947125064916755,2.0,0.9843101542979876,3999.0
sphere,0.0,cross_block_adaptive,0.0038690309808324,0.000659582955889,0.007233254782137,-2.6450322197839133,5.5,1.0,3999.0
sphere,0.0,cross_block_known,0.0051118763266775,0.0026950334205015,0.0066598649221725,-2.486142917929533,2.0,0.2894149088633847,3999.0
sphere,0.0,cross_sparse_known,0.0022275632702106,0.001291457658376,0.0026513913008811,-2.6779842198638804,2.0,0.782539912998879,3999.0
sphere,0.0,full_zo,0.0050333979916794,0.0015737358093052,0.009026353955693,-2.531609636360756,12.0,1.0,3999.0
sphere,0.0,oracle_subspace,0.0018887165922768,0.0016262121578611,0.0039370936021654,-2.7515234555972983,2.0,1.7987292724647335e-08,3999.0
sphere,0.0,random_subspace,0.0064261035728134,0.003308735098276,0.0095323428400975,-2.193015443216565,2.0,0.9911857016815904,3999.0
