method,n_anchors,operator_error_mean,operator_error_se,subspace_error_mean,subspace_error_se
cross,80,0.4797366158063751,0.039388345563324,0.4405423886491085,0.0310426662174977
cross,5120,0.0514465659311291,0.0029641094853641,0.0467723639937413,0.0018898491650485
outer,80,0.3247048062611233,0.037046651826474,0.2177473349863007,0.0136351526226123
outer,5120,0.1186343963357313,0.0049532628498441,0.0236695340129895,0.0012680845389561
outer_trace,80,0.3180089418998363,0.0368876656730971,0.208289506565413,0.0095067046984776
outer_trace,5120,0.1022850025255234,0.0046653190306775,0.0225181596923848,0.0008554582375868
