experiment,benchmark,tau,method,rep,d,r,rank_hat,queries,discovery_queries,subspace_error,best_noisy_value,final_value,regret,batch,rep_global
optimization,ellipsoid,0.02,cross_block_known,0,12,2,2,3999,720,0.1877247754011575,-0.0002863151965911,0.0521733589722908,0.0521733589722908,0,0
optimization,ellipsoid,0.02,cross_block_adaptive,0,12,2,1,3999,720,1.0,0.0784778702921413,0.0831896729060515,0.0831896729060515,0,0
optimization,ellipsoid,0.02,cross_sparse_known,0,12,2,2,3999,600,0.9824047216325948,0.0037147425769394,0.0486887055932216,0.0486887055932216,0,0
optimization,ellipsoid,0.02,random_subspace,0,12,2,2,3999,0,0.9998818954075158,0.1819252729324555,0.2327996491473223,0.2327996491473223,0,0
optimization,ellipsoid,0.02,full_zo,0,12,2,12,3999,0,1.0,0.0226407688669379,0.081527243741635,0.081527243741635,0,0
optimization,ellipsoid,0.02,oracle_subspace,1,12,2,2,3999,0,0.0,0.7533534913688676,0.773324331751356,0.773324331751356,0,1
optimization,ellipsoid,0.02,cross_block_known,1,12,2,2,3999,720,0.2150373120540878,0.168208967062708,0.2230282214757939,0.2230282214757939,0,1
optimization,ellipsoid,0.02,cross_block_adaptive,1,12,2,1,3999,720,1.0,0.6339548817331034,0.6755153913600945,0.6755153913600945,0,1
optimization,ellipsoid,0.02,cross_sparse_known,1,12,2,2,3999,600,0.9899690729484008,0.422185492155529,0.4611917649141867,0.4611917649141867,0,1
optimization,ellipsoid,0.02,random_subspace,1,12,2,2,3999,0,0.99719165757543,4.767680639851347,4.827469736512916,4.827469736512916,0,1
optimization,ellipsoid,0.02,full_zo,1,12,2,12,3999,0,1.0,0.482926579224793,0.5084025857125223,0.5084025857125223,0,1
optimization,rastrigin,0.0,oracle_subspace,0,12,2,2,3999,0,2.1073424255447017e-08,0.9960297027194188,1.0047724613058442,1.0047724613058442,0,0
optimization,rastrigin,0.0,cross_block_known,0,12,2,2,3999,720,0.0078276098069662,-0.0018828613225718,0.0069228545963433,0.0069228545963433,0,0
optimization,rastrigin,0.0,cross_block_adaptive,0,12,2,2,3999,720,0.0074342736552169,0.0022014215274605,0.0333489510285964,0.0333489510285964,0,0
optimization,rastrigin,0.0,cross_sparse_known,0,12,2,2,3999,600,0.5160564074165427,-0.0047061076650069,0.0300563516775227,0.0300563516775227,0,0
optimization,rastrigin,0.0,random_subspace,0,12,2,2,3999,0,0.9819810910046968,-0.0571431573546471,0.0036134480926719,0.0036134480926719,0,0
optimization,rastrigin,0.0,full_zo,0,12,2,12,3999,0,1.0,-0.0696384049227379,0.0083821023258607,0.0083821023258607,0,0
optimization,rastrigin,0.0,oracle_subspace,1,12,2,2,3999,0,2.1073424255447017e-08,0.9849740347927298,1.0206599780228771,1.0206599780228771,0,1
optimization,rastrigin,0.0,cross_block_known,1,12,2,2,3999,720,0.0099625863845662,0.962045475866942,1.0036563562709515,1.0036563562709515,0,1
optimization,rastrigin,0.0,cross_block_adaptive,1,12,2,2,3999,720,0.0095564550451257,0.9910185668339128,1.0136763336987895,1.0136763336987895,0,1
optimization,rastrigin,0.0,cross_sparse_known,1,12,2,2,3999,600,0.3885760570512449,0.95919132237928,0.9973609460179348,0.9973609460179348,0,1
optimization,rastrigin,0.0,random_subspace,1,12,2,2,3999,0,0.9989323413213648,0.9219571410370776,1.0052862268293945,1.0052862268293945,0,1
optimization,rastrigin,0.0,full_zo,1,12,2,12,3999,0,1.0,0.9301889895626556,0.99679233365314,0.99679233365314,0,1
optimization,rastrigin,0.02,oracle_subspace,0,12,2,2,3999,0,2.1073424255447017e-08,1.0338546462305662,1.033630458446624,1.033630458446624,0,0
optimization,rastrigin,0.02,cross_block_known,0,12,2,2,3999,720,0.0055866033541556,1.027527414854312,1.0562571825488958,1.0562571825488958,0,0
optimization,rastrigin,0.02,cross_block_adaptive,0,12,2,2,3999,720,0.0087238657320257,1.02271231080182,1.034526069621198,1.034526069621198,0,0
optimization,rastrigin,0.02,cross_sparse_known,0,12,2,2,3999,600,0.2828955221340274,1.031296823916226,1.0578796647764528,1.0578796647764528,0,0
optimization,rastrigin,0.02,random_subspace,0,12,2,2,3999,0,0.9738978891774072,0.9834763838462676,1.0499354951591098,1.0499354951591098,0,0
optimization,rastrigin,0.02,full_zo,0,12,2,12,3999,0,1.0,0.9767461809550276,1.038191742659455,1.038191742659455,0,0
optimization,rastrigin,0.02,oracle_subspace,1,12,2,2,3999,0,0.0,0.0022606046896441,0.0265763502095001,0.0265763502095001,0,1
optimization,rastrigin,0.02,cross_block_known,1,12,2,2,3999,720,0.0053112016672963,-0.0198478224369178,0.0320005230075617,0.0320005230075617,0,1
optimization,rastrigin,0.02,cross_block_adaptive,1,12,2,2,3999,720,0.0072940611760108,-0.0212263766994108,0.0242677721860084,0.0242677721860084,0,1
optimization,rastrigin,0.02,cross_sparse_known,1,12,2,2,3999,600,0.4129486827623073,0.0421526000205907,0.0378546838678357,0.0378546838678357,0,1
optimization,rastrigin,0.02,random_subspace,1,12,2,2,3999,0,0.981097983183583,-0.0215834096037191,0.0317619786733723,0.0317619786733723,0,1
optimization,rastrigin,0.02,full_zo,1,12,2,12,3999,0,1.0,-0.0528861352919187,0.0337419939572373,0.0337419939572373,0,1
optimization,rosenbrock,0.0,oracle_subspace,0,12,2,2,3999,0,0.0,-0.0189199632449526,0.0304601829084376,0.0304601829084376,0,0
optimization,rosenbrock,0.0,cross_block_known,0,12,2,2,3999,720,0.0031196301624641,-0.0383935020061882,0.0252870318144484,0.0252870318144484,0,0
optimization,rosenbrock,0.0,cross_block_adaptive,0,12,2,1,3999,720,1.0,0.0569701651382313,0.0927208595728089,0.0927208595728089,0,0
optimization,rosenbrock,0.0,cross_sparse_known,0,12,2,2,3999,600,0.9570139191645136,0.027562975093954,0.0721367944814002,0.0721367944814002,0,0
optimization,rosenbrock,0.0,random_subspace,0,12,2,2,3999,0,0.9638405551068294,-0.0297486992466021,0.0423377676491235,0.0423377676491235,0,0
optimization,rosenbrock,0.0,full_zo,0,12,2,12,3999,0,1.0,-0.0524158134599051,0.0221973004001027,0.0221973004001027,0,0
optimization,rosenbrock,0.0,oracle_subspace,1,12,2,2,3999,0,2.1073424255447017e-08,0.0164599709086204,0.0616945322098422,0.0616945322098422,0,1
optimization,rosenbrock,0.0,cross_block_known,1,12,2,2,3999,720,0.002748210864997,0.0543589860234641,0.0908862877510495,0.0908862877510495,0,1
optimization,rosenbrock,0.0,cross_block_adaptive,1,12,2,2,3999,720,0.0011942166335489,0.0474070230081792,0.0959493453444887,0.0959493453444887,0,1
optimization,rosenbrock,0.0,cross_sparse_known,1,12,2,2,3999,600,0.9993782547920104,3.398563837931356,3.428155579400381,3.428155579400381,0,1
optimization,rosenbrock,0.0,random_subspace,1,12,2,2,3999,0,0.9875032958237084,0.1884816599709735,0.2539277489787868,0.2539277489787868,0,1
optimization,rosenbrock,0.0,full_zo,1,12,2,12,3999,0,1.0,0.0188812270186478,0.0811594508094664,0.0811594508094664,0,1
optimization,rosenbrock,0.02,oracle_subspace,0,12,2,2,3999,0,0.0,0.3928228207632913,0.4154630696084284,0.4154630696084284,0,0
optimization,rosenbrock,0.02,cross_block_known,0,12,2,2,3999,720,0.0013438947216212,0.599464905879212,0.6519398537559686,0.6519398537559686,0,0
optimization,rosenbrock,0.02,cross_block_adaptive,0,12,2,1,3999,720,1.0,36.70967581076189,36.73552017880915,36.73552017880915,0,0
optimization,rosenbrock,0.02,cross_sparse_known,0,12,2,2,3999,600,0.9958088337697466,2.2203610233354283,2.23782128849837,2.23782128849837,0,0
optimization,rosenbrock,0.02,random_subspace,0,12,2,2,3999,0,0.993679599763907,0.7055909267685999,0.7587948698358101,0.7587948698358101,0,0
optimization,rosenbrock,0.02,full_zo,0,12,2,12,3999,0,1.0,0.3382140798484301,0.4008634773955367,0.4008634773955367,0,0
optimization,rosenbrock,0.02,oracle_subspace,1,12,2,2,3999,0,0.0,0.0369168817647164,0.0813777503135433,0.0813777503135433,0,1
optimization,rosenbrock,0.02,cross_block_known,1,12,2,2,3999,720,0.0022456862923433,0.0488000363836728,0.1061821817365165,0.1061821817365165,0,1
optimization,rosenbrock,0.02,cross_block_adaptive,1,12,2,2,3999,720,0.0028395770830939,0.0869050505438446,0.1187103870960657,0.1187103870960657,0,1
optimization,rosenbrock,0.02,cross_sparse_known,1,12,2,2,3999,600,0.915749725215384,0.2452137432545146,0.2725741894591985,0.2725741894591985,0,1
optimization,rosenbrock,0.02,random_subspace,1,12,2,2,3999,0,0.9946929259803994,1.3172703528456573,1.355528318378398,1.355528318378398,0,1
optimization,rosenbrock,0.02,full_zo,1,12,2,12,3999,0,1.0,0.0563807737453188,0.0970795641573992,0.0970795641573992,0,1
optimization,sphere,0.0,oracle_subspace,0,12,2,2,3999,0,2.5809568279517847e-08,-0.0613200300505597,0.0015986267606641,0.0015986267606641,1,2
optimization,sphere,0.0,cross_block_known,0,12,2,2,3999,720,0.3023946746024429,-0.0616881691128764,0.0055830782416457,0.0055830782416457,1,2
