d,r,mean,se
10,2,0.06773134094466741,0.004139741937671385
10,4,0.08428334736164587,0.0044653160769336
20,2,0.13338015453835123,0.005666011418419834
20,4,0.1835322183081593,0.009931984587139108
40,2,0.17262524132349324,0.006684427610148236
40,4,0.2307375731957011,0.008154629620219254
