experiment,method,rep,d,r,n_anchors,queries,operator_error,frobenius_error,subspace_error,rank_hat
moment_bias,cross,16,12,2,80,1280,0.4104392467301617,0.5240529284798087,0.4196657638470956,2
moment_bias,outer,16,12,2,80,1280,0.2509335560094148,0.4062534502994868,0.3795917437965627,2
moment_bias,outer_trace,16,12,2,80,1280,0.4429024370815235,0.4943424017811959,0.1795086772220739,2
moment_bias,cross,16,12,2,160,2560,0.2620231229652704,0.3427655683822551,0.292856536582513,2
moment_bias,outer,16,12,2,160,2560,0.256616961299867,0.3561967992168944,0.1285777241535583,2
moment_bias,outer_trace,16,12,2,160,2560,0.2608690131030298,0.3204465136303949,0.1285442926288074,2
moment_bias,cross,16,12,2,320,5120,0.2972950026952263,0.3224504629873072,0.1586460000038268,2
moment_bias,outer,16,12,2,320,5120,0.1450434708298367,0.2797960259291603,0.1265324962714474,2
moment_bias,outer_trace,16,12,2,320,5120,0.1464047474858942,0.2280868290139653,0.073288196495453,2
moment_bias,cross,16,12,2,640,10240,0.1368616905035437,0.1779046529160192,0.1140922883374672,2
moment_bias,outer,16,12,2,640,10240,0.2424766806262314,0.3244074237474014,0.0668110098501529,2
moment_bias,outer_trace,16,12,2,640,10240,0.1906348293641241,0.2593106208061133,0.0533451273274716,2
moment_bias,cross,16,12,2,1280,20480,0.0716245406797178,0.1216284223607148,0.1041362788946845,2
moment_bias,outer,16,12,2,1280,20480,0.1267457973172791,0.2545860813368489,0.0719990273147018,2
moment_bias,outer_trace,16,12,2,1280,20480,0.0953647893550848,0.196023631940599,0.0407943034406119,2
moment_bias,cross,17,12,2,80,1280,0.5897367963665785,0.6911055153616159,0.3873022274330595,2
moment_bias,outer,17,12,2,80,1280,0.324890106999914,0.4042588810512071,0.2208357826144205,2
moment_bias,outer_trace,17,12,2,80,1280,0.2185607916469331,0.2978277513204985,0.2034363051913664,2
moment_bias,cross,17,12,2,160,2560,0.4049476404524906,0.4711365817429037,0.1774955813331367,2
moment_bias,outer,17,12,2,160,2560,0.1901489672680499,0.2873893670619377,0.088568199084044,2
moment_bias,outer_trace,17,12,2,160,2560,0.3362732887445512,0.3903035287980717,0.142313601577714,2
moment_bias,cross,17,12,2,320,5120,0.1791200276278099,0.262062178486377,0.1620357086186212,2
moment_bias,outer,17,12,2,320,5120,0.1340068638972004,0.2382221395722626,0.1148819089304198,2
moment_bias,outer_trace,17,12,2,320,5120,0.0951121489079531,0.2048767714253718,0.0610092544053349,2
moment_bias,cross,17,12,2,640,10240,0.1229412755141262,0.1709005061084603,0.1216737928184693,2
moment_bias,outer,17,12,2,640,10240,0.177310041807179,0.2850066972086855,0.0591749238376121,2
moment_bias,outer_trace,17,12,2,640,10240,0.1702508609562039,0.2472621914585598,0.0662296458501183,2
moment_bias,cross,17,12,2,1280,20480,0.0663072002192086,0.1119077592489248,0.1168817053142615,2
moment_bias,outer,17,12,2,1280,20480,0.1667241150423936,0.2790015966231961,0.0546021787607749,2
moment_bias,outer_trace,17,12,2,1280,20480,0.1649955306487334,0.2354734002162258,0.0430592395562722,2
moment_bias,cross,18,12,2,80,1280,0.5975090482554696,0.6945960878204722,0.4242332164451581,2
moment_bias,outer,18,12,2,80,1280,0.256464655562412,0.3694547607150488,0.2666181299827433,2
moment_bias,outer_trace,18,12,2,80,1280,0.2381916021209842,0.3334099923872604,0.1989623716310386,2
moment_bias,cross,18,12,2,160,2560,0.2438794890775446,0.3064000831846047,0.2127447229663836,2
