experiment,method,rep,d,r,n_anchors,directions_per_side,queries,operator_error,subspace_error,rank_hat
dimension_scaling,cross_known_rank,8,20,2,400,8,12800,0.16431151970890778,0.12623810908628164,2
dimension_scaling,cross_adaptive,8,20,2,400,8,12800,0.16431151970890778,0.12623810908628164,2
dimension_scaling,cross_known_rank,9,20,2,400,8,12800,0.21733486253445683,0.14540449642750078,2
dimension_scaling,cross_adaptive,9,20,2,400,8,12800,0.21733486253445683,0.14540449642750078,2
dimension_scaling,cross_known_rank,0,20,4,400,8,12800,0.3073081578236505,0.16734185396694834,4
dimension_scaling,cross_adaptive,0,20,4,400,8,12800,0.3073081578236505,0.16734185396694834,4
dimension_scaling,cross_known_rank,1,20,4,400,8,12800,0.2298820591766467,0.24634101247667342,4
dimension_scaling,cross_adaptive,1,20,4,400,8,12800,0.2298820591766467,0.24634101247667342,4
dimension_scaling,cross_known_rank,2,20,4,400,8,12800,0.24603251598417997,0.2021421032908322,4
dimension_scaling,cross_adaptive,2,20,4,400,8,12800,0.24603251598417997,0.2021421032908322,4
dimension_scaling,cross_known_rank,3,20,4,400,8,12800,0.2241442333860993,0.15337298301729385,4
dimension_scaling,cross_adaptive,3,20,4,400,8,12800,0.2241442333860993,0.15337298301729385,4
dimension_scaling,cross_known_rank,4,20,4,400,8,12800,0.1762608557361385,0.1414350891068472,4
dimension_scaling,cross_adaptive,4,20,4,400,8,12800,0.1762608557361385,0.1414350891068472,4
dimension_scaling,cross_known_rank,5,20,4,400,8,12800,0.22716381021036708,0.2197254321850693,4
dimension_scaling,cross_adaptive,5,20,4,400,8,12800,0.22716381021036708,0.2197254321850693,4
dimension_scaling,cross_known_rank,6,20,4,400,8,12800,0.21007499221589077,0.17472533900599063,4
dimension_scaling,cross_adaptive,6,20,4,400,8,12800,0.21007499221589077,0.17472533900599063,4
dimension_scaling,cross_known_rank,7,20,4,400,8,12800,0.2902546064980538,0.18524835446347812,4
dimension_scaling,cross_adaptive,7,20,4,400,8,12800,0.2902546064980538,0.18524835446347812,4
dimension_scaling,cross_known_rank,8,20,4,400,8,12800,0.1762885951091044,0.1745861192525435,4
dimension_scaling,cross_adaptive,8,20,4,400,8,12800,0.1762885951091044,0.1745861192525435,4
dimension_scaling,cross_known_rank,9,20,4,400,8,12800,0.13062929744522545,0.17040389631591663,4
dimension_scaling,cross_adaptive,9,20,4,400,8,12800,0.13062929744522545,0.17040389631591663,4
dimension_scaling,cross_known_rank,0,40,2,800,8,25600,0.21896191944203952,0.1425130962809754,2
dimension_scaling,cross_adaptive,0,40,2,800,8,25600,0.21896191944203952,0.1425130962809754,2
dimension_scaling,cross_known_rank,1,40,2,800,8,25600,0.1412271810556456,0.1947738216038115,2
dimension_scaling,cross_adaptive,1,40,2,800,8,25600,0.1412271810556456,0.1947738216038115,2
dimension_scaling,cross_known_rank,2,40,2,800,8,25600,0.1739746841465148,0.1724478273987251,2
dimension_scaling,cross_adaptive,2,40,2,800,8,25600,0.1739746841465148,0.1724478273987251,2
dimension_scaling,cross_known_rank,3,40,2,800,8,25600,0.20608996428233042,0.2122109582903114,2
dimension_scaling,cross_adaptive,3,40,2,800,8,25600,0.20608996428233042,0.2122109582903114,2
dimension_scaling,cross_known_rank,4,40,2,800,8,25600,0.16597156224170606,0.15168341949365638,2
dimension_scaling,cross_adaptive,4,40,2,800,8,25600,0.16597156224170606,0.15168341949365638,2
